Joints
100
,,Subject1:World_Root,,,,,,Subject1:World_Root,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX',RY',RZ',TX',TY',TZ'
,,deg,deg,deg,mm,mm,mm,deg/s,deg/s,deg/s,mm/s,mm/s,mm/s
172,0,-8.13551,-21.704,-0.319428,256.592,960.826,-266.502,-25.9325,-37.5479,7.16397,43.2342,-146.759,178.31
173,0,-8.3794,-22.2241,-0.263888,257.142,959.563,-264.632,-24.3893,-52.0085,5.55393,54.9853,-126.278,186.932
174,0,-8.60799,-22.8783,-0.217785,257.838,958.561,-262.659,-22.859,-65.4119,4.61038,69.5735,-100.195,197.36
175,0,-8.80666,-23.6687,-0.1762,258.68,957.859,-260.598,-19.867,-79.0473,4.15846,84.1945,-70.25,206.065
176,0,-8.9802,-24.5838,-0.140621,259.676,957.497,-258.44,-17.3538,-91.5042,3.55787,99.656,-36.2337,215.769
177,0,-9.12934,-25.613,-0.110724,260.826,957.5,-256.185,-14.9138,-102.925,2.98976,114.992,0.369549,225.55
178,0,-9.25257,-26.7443,-0.0843259,262.13,957.883,-253.835,-12.3226,-113.132,2.63978,130.379,38.29,234.956
179,0,-9.33606,-27.9648,-0.0470898,263.607,958.641,-251.405,-8.34956,-122.045,3.72361,147.682,75.7515,243.02
180,0,-9.39159,-29.261,0.011837,265.267,959.768,-248.87,-5.55243,-129.622,5.89267,166.059,112.718,253.567
181,0,-9.41715,-30.6204,0.0839435,267.077,961.232,-246.253,-2.5568,-135.937,7.21065,180.992,146.383,261.682
182,0,-9.4062,-32.026,0.176767,269.061,962.992,-243.561,1.09548,-140.564,9.28238,198.373,176.072,269.166
183,0,-9.35306,-33.4658,0.294883,271.2,964.993,-240.815,5.31372,-143.98,11.8116,213.918,200.039,274.655
184,0,-9.257,-34.9283,0.440565,273.482,967.169,-238.024,9.60581,-146.249,14.5683,228.176,217.617,279.039
185,0,-9.10762,-36.3967,0.6186,275.926,969.457,-235.196,14.938,-146.836,17.8035,244.391,228.781,282.843
186,0,-8.88475,-37.8541,0.846054,278.499,971.735,-232.419,22.2874,-145.738,22.7453,257.295,227.803,277.629
187,0,-8.63511,-39.3041,1.08696,281.216,974.008,-229.548,24.9644,-145.007,24.0903,271.678,227.273,287.114
188,0,-8.33683,-40.7294,1.35436,284.056,976.167,-226.655,29.8278,-142.522,26.7403,284.055,215.971,289.328
189,0,-7.98483,-42.1224,1.64819,287.014,978.143,-223.74,35.2001,-139.307,29.3833,295.806,197.613,291.497
190,0,-7.57924,-43.4695,1.95714,290.081,979.867,-220.81,40.5583,-134.703,30.895,306.642,172.353,292.963
191,0,-7.13754,-44.78,2.2715,293.229,981.296,-217.831,44.1702,-131.054,31.4356,314.879,142.914,297.92
192,0,-6.63515,-46.0438,2.61737,296.494,982.383,-214.789,50.2391,-126.383,34.5876,326.49,108.683,304.213
193,0,-6.11166,-47.2552,2.9415,299.825,983.094,-211.663,52.3496,-121.138,32.4128,333.038,71.1024,312.568
194,0,-5.53339,-48.4173,3.2703,303.241,983.409,-208.443,57.827,-116.207,32.8795,341.597,31.4891,321.996
195,0,-4.92844,-49.5521,3.57432,306.704,983.321,-205.1,60.4947,-113.485,30.4018,346.327,-8.73208,334.327
196,0,-4.29721,-50.6504,3.84903,310.212,982.845,-201.6,63.1227,-109.823,27.471,350.827,-47.6897,350.027
197,0,-3.64177,-51.722,4.09479,313.76,982.002,-197.906,65.5445,-107.159,24.5769,354.773,-84.281,369.377
198,0,-2.93893,-52.778,4.32336,317.346,980.829,-194.012,70.2838,-105.602,22.8561,358.605,-117.29,389.418
199,0,-2.14825,-53.8275,4.58664,320.985,979.439,-189.834,79.0674,-104.95,26.3286,363.931,-138.974,417.824
200,0,-1.3621,-54.8646,4.79364,324.568,977.871,-185.372,78.6158,-103.711,20.6995,358.281,-156.856,446.18
201,0,-0.52955,-55.9101,4.96954,328.165,976.126,-180.739,83.2546,-104.554,17.5904,359.654,-174.403,463.285
202,0,0.286766,-56.9612,5.11954,331.737,974.281,-175.803,81.6316,-105.105,15.0001,357.24,-184.59,493.622
203,0,1.14124,-58.0258,5.30775,335.429,972.359,-170.643,85.4476,-106.463,18.8211,369.158,-192.153,516.03
204,0,1.9057,-59.0936,5.43829,339.095,970.454,-165.166,76.446,-106.781,13.0539,366.658,-190.526,547.682
205,0,2.60371,-60.1572,5.55444,342.758,968.7,-159.325,69.8004,-106.355,11.6152,366.312,-175.381,584.041
