Joints,,,,,,,,,,,,,
100,,,,,,,,,,,,,
,,Subject1:World_Root,,,,,,Subject1:LowerBack,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm
145,0,-0.0959934,5.30319,5.65267,-3.26414,1001.3,228.61,-6.71668,129.356,130.445,20.2491,229.898,1173.65
146,0,-0.497433,5.47972,5.81282,-4.77335,994.345,229.014,-8.30025,130.118,130.68,22.2328,229.193,1166.65
147,0,-0.884495,5.52417,5.86878,-6.25685,988.726,229.648,-9.77613,130.776,130.811,23.8824,228.693,1161.01
148,0,-1.2556,5.55649,5.81579,-7.64645,984.716,230.508,-11.1796,131.277,130.946,25.1125,228.432,1157.01
149,0,-1.57885,5.69068,5.67073,-8.48318,982.347,231.83,-12.4946,131.632,131.174,25.5111,228.778,1154.67
150,0,-1.84982,5.77722,5.44134,-9.06232,981.682,233.228,-13.5765,131.84,131.381,25.401,229.315,1154.05
151,0,-2.07127,5.85257,5.14768,-9.24181,982.755,234.75,-14.473,131.916,131.577,24.6991,230.1,1155.19
152,0,-2.22163,5.80783,4.8165,-9.24348,985.327,236.097,-15.0635,131.909,131.684,23.7099,230.878,1157.83
153,0,-2.2943,5.64494,4.44638,-8.78123,989.264,237.371,-15.3736,131.807,131.71,22.1421,231.779,1161.84
154,0,-2.29546,5.31664,4.06461,-8.04607,994.33,238.636,-15.3491,131.621,131.668,20.2684,232.853,1166.99
155,0,-2.21736,4.83693,3.66102,-6.94814,1000.33,239.826,-15.0777,131.408,131.513,17.9668,234.071,1173.07
156,0,-2.09394,4.27273,3.25738,-5.54521,1007.09,241.158,-14.5916,131.149,131.316,15.3581,235.573,1179.91
157,0,-1.95621,3.55447,2.81898,-3.98258,1014.15,242.64,-13.9003,130.805,131.033,12.4831,237.263,1187.05
158,0,-1.79695,2.75393,2.38409,-2.05367,1021.53,244.108,-13.0097,130.47,130.688,9.24912,239.028,1194.49
159,0,-1.65213,1.85967,1.94761,-0.0383226,1028.9,245.652,-11.9763,130.085,130.276,5.9206,240.852,1201.92
160,0,-1.51602,0.948519,1.52789,2.22312,1035.97,247.211,-10.8628,129.738,129.806,2.39355,242.707,1209.03
161,0,-1.40271,-0.0151394,1.1163,4.6197,1042.63,248.758,-9.63319,129.388,129.27,-1.24615,244.519,1215.73
162,0,-1.31946,-0.939779,0.726685,7.14611,1048.5,250.296,-8.3842,129.05,128.701,-4.95038,246.272,1221.62
163,0,-1.27515,-1.87101,0.357191,9.7322,1053.59,251.856,-7.06331,128.707,128.068,-8.65355,247.966,1226.72
164,0,-1.26044,-2.80249,-0.0153518,12.3195,1057.62,253.42,-5.68423,128.318,127.364,-12.3663,249.613,1230.76
165,0,-1.22949,-3.78706,-0.370592,14.8374,1060.76,254.808,-4.14786,127.943,126.505,-15.9555,251.166,1233.9
166,0,-1.2159,-4.8719,-0.740875,17.3932,1062.82,256.033,-2.48403,127.49,125.558,-19.6249,252.548,1235.96
167,0,-1.18225,-6.10207,-1.11308,19.8107,1063.9,257.005,-0.638544,126.991,124.462,-23.1563,253.79,1237.02
168,0,-1.10418,-7.43364,-1.47957,22.2575,1063.9,257.631,1.35288,126.461,123.25,-26.6921,254.874,1237.01
169,0,-0.979545,-8.76882,-1.84982,24.6283,1062.86,258.032,3.37329,125.889,121.989,-30.1538,255.925,1235.94
170,0,-0.809611,-10.0304,-2.21369,27.0008,1060.57,258.111,5.39588,125.303,120.722,-33.5885,256.831,1233.62
171,0,-0.628392,-11.3286,-2.58754,29.4684,1056.97,258.113,7.4706,124.637,119.435,-37.135,257.751,1229.98
172,0,-0.471967,-12.5722,-2.96691,31.9381,1052.18,258.411,9.5234,123.885,118.23,-40.6875,258.938,1225.14
173,0,-0.31921,-13.7295,-3.33153,34.4056,1046.21,258.733,11.5758,123.091,117.093,-44.1828,260.159,1219.11
174,0,-0.19108,-14.6732,-3.69271,36.8191,1039.28,259.421,13.4797,122.255,116.105,-47.6098,261.67,1212.12
175,0,-0.0826269,-15.4533,-4.04096,39.2316,1031.68,260.149,15.2914,121.414,115.207,-50.9951,263.152,1204.44
176,0,0.0113512,-16.1678,-4.34948,41.5777,1023.48,260.975,17.0414,120.59,114.32,-54.1929,264.666,1196.16
177,0,0.0653286,-16.7424,-4.61074,43.7772,1015.07,261.974,18.6371,119.782,113.507,-57.1091,266.182,1187.68
178,0,0.113718,-17.2378,-4.83316,45.7356,1006.63,263.023,20.1078,119.015,112.703,-59.6722,267.69,1179.19
179,0,0.174904,-17.5688,-5.00555,47.6481,998.765,264.043,21.4326,118.301,111.989,-62.0544,269.13,1171.27
180,0,0.290074,-17.8395,-5.08062,49.2826,991.754,264.932,22.6746,117.64,111.282,-63.8824,270.504,1164.23
181,0,0.426804,-17.9643,-5.08006,50.8423,986.004,265.66,23.7228,117.051,110.667,-65.4302,271.674,1158.47
182,0,0.589069,-17.9637,-4.9956,52.2379,981.792,266.454,24.647,116.536,110.163,-66.5839,272.879,1154.26
183,0,0.722377,-17.9865,-4.84087,53.4282,979.072,267.503,25.4874,116.019,109.748,-67.3292,274.191,1151.57
184,0,0.824796,-18.0116,-4.62474,54.3333,977.95,268.738,26.1818,115.549,109.44,-67.6132,275.54,1150.49
185,0,0.919128,-18.001,-4.34864,54.7568,978.642,270.072,26.6951,115.171,109.221,-67.2462,276.9,1151.24
186,0,0.981453,-17.9249,-4.0402,54.7779,980.91,271.651,26.9883,114.868,109.143,-66.388,278.365,1153.58
187,0,1.03419,-17.7978,-3.69723,54.3215,984.64,273.046,27.1074,114.695,109.154,-64.9551,279.578,1157.38
188,0,1.09905,-17.5832,-3.32725,53.4466,989.467,274.361,27.0554,114.644,109.241,-63.0289,280.713,1162.27
189,0,1.1919,-17.3228,-2.96117,52.2878,995.244,275.557,26.8593,114.661,109.349,-60.829,281.818,1168.1
190,0,1.314,-16.905,-2.59155,50.8589,1001.66,276.534,26.4722,114.819,109.537,-58.3516,282.778,1174.57
191,0,1.47156,-16.4651,-2.22034,49.2566,1008.57,277.546,26.0255,115.013,109.724,-55.6915,283.891,1181.52
192,0,1.66271,-15.9005,-1.85517,47.5786,1015.95,278.362,25.4096,115.338,109.954,-52.971,284.92,1188.93
